Curious George,2/15/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading","Curious George encourages children to explore science, engineering, and math in the world around them. George motivates children to expand their own investigations of the world with knowledge of basic concepts and hands-on exploration.",An Emmy award-winning animated series based on the books by Margret and H.A. Rey.,http://pbskids.org/curiousgeorge/
Clifford the Big Red Dog,2/15/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading",The animated series uses classic storytelling to present universal messages to young children. Clifford and his friends embody positive characteristics and encourage children to master the social and emotional challenges in early childhood development.,"Designed for ages 3-7, Clifford uses classic storytelling to present universal social, emotional, and moral messages to young children. ",http://pbskids.org/clifford/index-brd-flash.html
Super Why!,2/15/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading",Super WHY! brings together four of your child's favorite fairytale characters with relatable characteristics and interests. The show encourages children to read through adventures in literacy and interactive games.,Encouraging children to read through adventures in literacy and interactive games,http://pbskids.org/superwhy/
WordGirl,3/1/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading","WordGirl is a new animated series that follows the every day life and superhero adventures of “WordGirl” as she fights crime and enriches vocabulary usage, all in a day’s work. WordGirl enriches young audiences’ vocabulary, closes the gap for those who don’t grow up in language-rich environments, instills a love of language, and fosters better reading comprehension.","Enriching young audiences’ vocabulary, closing the gap for those who don’t grow up in language-rich environments.",http://pbskids.org/wordgirl/
"Mister Roger's Neighborhood",3/15/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading","Mister Roger offers children a place where they feel accepted and understood. The show helps children to develop social and emotional skills necessary in a community through conversation, songs, visits with neighbors and guests, and puppet stories.","Helping children learn about themselves, about others and about their world.",http://pbskids.org/rogers/
Dinosaur Train,2/15/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading","Dinosaur Train incorporates children's enthusiasm for dinosaurs and trains while educating children in scientific thinking, natural history, and paleontology. The show encourages children to explore questions, observations and conclusions.",Incorporates children's enthusiasm for dinosaurs and trains.,http://pbskids.org/dinosaurtrain/
Fetch!,2/15/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading","Part game show, part reality TV, and part spoof, FETCH! features real kids, real challenges, real science, and an unreal, animated-dog host named Ruff Ruffman.","Real kids and an unreal, animated-dog host named Ruff Ruffman.",http://pbskids.org/fetch/
Maya & Miguel,2/15/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading","MAYA & MIGUEL chronicles the adventures, and sometimes misadventures, of 10-year-old siblings Maya and Miguel Santos, and features their family, relatives and a richly diverse neighborhood of friends.",The adventures of 10-year-old siblings Maya and Miguel Santos.,http://pbskids.org/mayaandmiguel/flash.html
Arthur,2/15/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading","Arthur aims to foster an interest in reading and writing, to encourage positive social skills, and to model age-appropriate problem-solving strategies. The show chronicles the adventures of eight-year-old Arthur and explores issues faced by real kids.",The adventures of eight-year-old Arthur and explores issues faced by real kids.,http://pbskids.org/arthur/
WordWorld,2/15/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading","WordWorld empowers children as early readers by making the important connections between letters, sounds, words and meaning that are necessary for reading. The animated WordFriends go on adventures and face challenges that can only be resolved using the correct word.","Words come alive, words save the day, and words become a child's best friend.",http://pbskids.org/wordworld/index_flash.html
Dragon Tales,2/15/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading",,,http://pbskids.org/games/dragontales.html
Cyberchase,3/1/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading","In the world of CYBERCHASE, the dastardly villain Hacker is on a mad mission to take over Cyberspace with the help of his blundering henchbots, Buzz and Delete. But heroes, Inez, Jackie, and Matt, are three curious kids determined to stop him with the help of their cyberpal, Digit. Their weapon: brain power.
","Each episode takes the heroes on a thrilling adventure driven by a different math concept, and kids learn that math is everywhere and fun to use!",http://pbskids.org/cyberchase/
Sid the Science Kid,3/1/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading","Sid the Science Kid is an animated television series using comedy to promote exploration, discovery and science among preschoolers. The characters pose questions and investigate objects and events that can be directly observed and explored.","Sid the Science Kid is an animated television series using comedy to promote exploration, discovery and science among preschoolers.",http://pbskids.org/sid/
The Electric Company,3/1/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading","Hey you guuuyyysss! Many parents will remember that beloved catchphrase from the original, THE ELECTRIC COMPANY. Over 30 years later, the show has been re-energized to relate to today's kids with a hip, young cast and a dose of pop culture. It strives to power up children's fundamental reading skills with music, humor, technology and celebrities.",THE ELECTRIC COMPANY is a group of friends who share a love of language and are sworn to do the right thing. They solve problems and prevail against their neighborhood's pranksters by using their literacy superpowers.,http://pbskids.org/electriccompany/
Kratts Creatures,3/1/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading","Zoologists by training, Martin and Chris Kratt are real-life brothers who are crazy about animals and the natural world. The brothers started making wildlife films while in college (Martin earned a B.S., Zoology and Chris has a B.A., Biology) when they went on camping trips around the world. They edited the films in their basement and brought them into schools to show kids. Martin and Chris Kratt have since built a family entertainment brand based on their enthusiasm for animals and their wild popularity with a family audience. Together they have created Zoboomafoo with the Kratt Brothers, Kratt Bros. Be The Creature and Kratts' Creatures. ","Zoologists by training, Martin and Chris Kratt are real-life brothers who are crazy about animals and the natural world.",http://pbskids.org/krattscreatures/login.shtml?
Martha Speaks,3/1/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading","Martha is outspoken, confident, smart and has an amazing vocabulary. She loves learning -- and using -- new words. Her best friend is 10-year-old Helen, who acts as Martha's voice of reason (not that Martha always listens!).",Martha is a lovable family dog with the power of speech. She helps children understand words teaching up to 20 different words in each show.,http://pbskids.org/martha/
Postcards from Buster,3/1/2011,Kids,-,Received,Y,"PBS, PBS KIDS, kids, children, children's programming, cartoons, educational, reading",,,http://pbskids.org/buster/
E2,3/1/2011,General Audience,yes,Received,Y,"PBS, E2, Science, Technology, Environment, Sustainability, Green","e2 is an ongoing PBS series about the economies of being environmentally conscious with a combination of policy, technology and ingenuity from energy consumption to building efficiency.  It chronicles global efforts to solve pressing ecological challenges.",e2 is an ongoing PBS series about the economies of being environmentally conscious.,http://www.pbs.org/e2/
Great Performances,2/15/2011,General Audience,yes,Received,Y,"PBS, Great Performances, Theater, Drama, Shakespeare","Great Performances brings the best in the performing arts from across America and around the world to a US television audience. It presents a diverse programming portfolio of classical music, opera, popular song, musical theater, dance, drama, and performance documentaries.",Brings the best in the performing arts from around the world,http://video.pbs.org/program/979359658/
Woodwrights Shop,3/1/2011,General Audience,yes,Received,Y,"PBS, Woodwrights Shop, Woodworking, How To, Craft","When it comes to carving your niche in the new millennium, come to the man who knows what it takes to survive!  This storied UNC-TV series starring Roy Underhill celebrates nearly 30 years of teaching traditional woodworking skills to millions of national public television viewers.",Roy Underhill celebrates nearly 30 years of teaching traditional woodworking skills to millions of national public television viewers.,http://www.pbs.org/woodwrightsshop/
Wired Science,3/15/2011,General Audience,yes,Received,Y,"PBS, Wired Science, science, WIRED, technology, design","Take the DNA of Wired magazine, the first word on how science and technology are changing the world. Add the giant-robot might of PBS. Result: WIRED Science, a science series that brings the magazine's award-winning journalism, groundbreaking design and irreverent attitude to public television.",A science series that brings the magazine's award-winning journalism to public television.,http://www.pbs.org/kcet/wiredscience/
Tavis Smiley,3/15/2011,General Audience,yes,Received,Y,"PBS, Tavis Smiley, news, interviews, politics, entertainment","Tavis Smiley features a unique mix of news and pop culture to create a thought-provoking and entertaining program. A hybrid of news, issues and entertainment, it features interviews with artists, activists, news makers, politicians and everyday people.","Featuring interviews with artists, activists, news makers, politicians and everyday people.",http://video.pbs.org/program/1127859226/
POV,3/15/2011,General Audience,yes,Received,Y,"PBS, POV, documentary, documentaries, independent, non-fiction, point of view","POV, a cinema term for ""point of view,"" is television's longest-running showcase for independent non-fiction films. Since 1988, POV has presented more than 275 of the best, boldest and most innovative documentaries to PBS audiences across the country. POV films are known for their intimacy, their unforgettable storytelling and their timeliness, putting a human face on contemporary social issues.",Television's longest-running showcase for independent non-fiction films.,http://video.pbs.org/program/1154485580/
Latin Music USA,3/15/2011,General Audience,yes,Received,Y,"PBS, Latin jazz, mambo, salsa, Tejano, Chicano, Latin pop, reggaeton, LATIN MUSIC USA","From Latin jazz and mambo to salsa, Tejano, Chicano rock, Latin pop and reggaeton, LATIN MUSIC USA tells the story of the rise of new American music forged from powerful Latin roots and reveals the often overlooked influence of Latin music on jazz, hip hop, rhythm and blues and rock 'n' roll — and on all of American culture.",LATIN MUSIC USA tells the story of the rise of new American music forged from powerful Latin roots.,http://video.pbs.org/program/1253189365/
Global Voices,3/15/2011,General Audience,yes,Received,Y,"PBS, Global voices, people, international, world, news","Global Voices offers intimate and uncommon stories by and about everyday people.  From North Korea to Israel, South Africa to the former Soviet Union, Global Voices offers rare insights and firsthand perspectives from the world and its people.",Global Voices offers intimate and uncommon stories by and about everyday people.,http://video.pbs.org/program/1478905970/
Ground War,3/15/2011,General Audience,yes,Received,Y,"PBS, Ground War, technology, combat, war, weapons, guns, history","Ground War explores the transformative technological advances that have defined battlefield combat through the ages. From the gladius to the AK-47, from the chariot to the tank, from the trebuchet to the howitzer, and from the battle ramp to the star fort, the series follows the fascinating punch and counterpunch of battle tactics and new technologies.",Ground War explores the transformative technological advances that have defined battlefield combat through the ages.,http://www.pbs.org/wnet/ground-war/
The Human Spark with Alan Alda,3/15/2011,General Audience,yes,Received,Y,"PBS, Human Spark, Alan Alda, science, brain",Alan Alda visits dozens of scientists on three continents -- and even undergoes an examination of his own brain -- to find the answer to one question: What makes us human?,Alan Alda visits dozens of scientists on three continents to find out: What makes us human?,http://www.pbs.org/wnet/humanspark/
Keeping Score,3/15/2011,General Audience,yes,Received,Y,"PBS, Keeping score, Hector Berlioz, Charles Ives, Dmitri Shostakovich, music, composers, classical","Explore the music and compelling stories of composers including Hector Berlioz, Charles Ives, Dmitri Shostakovich, who each struggled with musical language as a unique expression of their ideas.",Explore the music and compelling stories of composerswho struggled with musical language as a unique expression of their ideas.,http://www.pbs.org/keepingscore/
NOW on PBS,3/15/2011,General Audience,yes,Received,Y,"NOW, PBS, David Brancaccio, news, politics, international","Hosted by veteran journalist David Brancaccio, NOW on PBS goes beyond the noisy churn of the news cycle to probe the most important issues facing democracy and give viewers the context to explore their relationship with the larger world.",NOW on PBS goes beyond the noisy churn of the news cycle to probe the most important issues facing democracy.,http://www.pbs.org/now/
Ocean Adventures,3/15/2011,General Audience,yes,Received,Y,"PBS, Ocean Adventures, Jean-Michel Cousteau, diving, ocean","Join Jean-Michel Cousteau and his acclaimed diving teams as they explore a thrilling array of natural phenomena, investigate little known territories and ecosystems hundreds of feet beneath the ocean's surface, and come face to face with the friendly and ferocious inhabitants of the deep.",Join Jean-Michel Cousteau as he explores an array of natural phenomena and comes face to face with the friendly and ferocious inhabitants of the deep.,http://www.pbs.org/kqed/oceanadventures/
Scientific American Frontiers,3/15/2011,General Audience,yes,Received,Y,"PBS, Scientific American Frontiers, Alan Alda, science, technology, environment, medicine, outer space","Alan Alda brings his unique blend of curiosity and humor to the exploration of the latest trends in science, medicine, technology, and the environment. Join Alan Alda as he takes us from the depths of the conscious mind to the outer reaches of space.",Join Alan Alda as he takes us from the depths of the conscious mind to the outer reaches of space.,http://www.pbs.org/saf/
This Emotional Life,3/15/2011,General Audience,yes,Received,Y,"PBS, This Emotional Life, psychology, emotional issues","This 3-part series represents what television does best. It opens a window into real lives, exploring ways to improve our social relationships, cope with emotional issues, and become more positive, resilient individuals. Hosted by Daniel Gilbert, Harvard psychologist and best-selling author of Stumbling on Happiness.","3-part series opens a window into real lives, exploring ways to improve our social relationships, cope with emotional issues, and become more positive, resilient individuals.",http://video.pbs.org/program/1305344011/
